Year,Month,Admissions (million)
2018,January,16.2
2018,February,16.1
2018,March,13.5
2018,April,15.5
2018,May,13.7
2018,June,10.4
2018,July,15.6
2018,August,19.2
2018,September,10.1
2018,October,16.0
2018,November,14.8
2018,December,15.7
2019,January,13.7
2019,February,12.2
2019,March,11.4
2019,April,16.0
2019,May,16.6
2019,June,13.9
2019,July,18.7
2019,August,15.6
2019,September,11.0
2019,October,16.3
2019,November,12.2
2019,December,18.5
2020,January,16.5
2020,February,14.5
2020,March,4.8
2020,April,
2020,May,
2020,June,
2020,July,0.4
2020,August,2.1
2020,September,2.7
2020,October,2.2
2020,November,0.3
2020,December,0.5
2021,January,
2021,February,
2021,March,
2021,April,
2021,May,3.5
2021,June,7.0
2021,July,7.8
2021,August,10.4
2021,September,6.5
2021,October,16.4
2021,November,8.8
2021,December,13.5
