Year,Distributor,"Market share
(%)","Films on release
in 2018","Box office gross
(£ million)",Market Share,Flimns on release,Box office gross (£ million),Market share,Films on release
2018,Walt Disney,23.6,24,325.6,,,,,
2018,Universal,19.5,40,268.5,,,,,
2018,20th Century Fox,14.5,28,199.3,,,,,
2018,Warner Bros,13.9,31,191.4,,,,,
2018,Sony,10.7,33,146.8,,,,,
2018,Paramount,4.8,12,66.0,,,,,
2018,eOne Films,3.2,22,43.9,,,,,
2018,StudioCanal,2.8,31,38.4,,,,,
2018,Lionsgate,1.5,21,21.2,,,,,
2018,Entertainment,1.1,9,15.6,,,,,
2018,Others (128 distributors),4.5,715,61.4,,,,,
2019,Walt Disney,,,,37.9,24,506.8,,
2019,Universal,,,,13.9,39,185.6,,
2019,Warner Bros,,,,12.4,40,166.3,,
2019,Sony,,,,9.3,27,124.7,,
2019,Paramount,,,,5.9,13,79.0,,
2019,20th Century Fox*,,,,5.7,30,75.5,,
2019,Lionsgate,,,,4.2,19,56.4,,
2019,Entertainment One,,,,3.8,27,50.4,,
2019,STX Entertainment,,,,1.2,7,15.4,,
2019,StudioCanal,,,,1.0,22,14.0,,
2019,Others (Total 130 distributors),,,,4.6,671,61.6,,
2020,Entertainment One,,,,,,49.4,15.9,30
2020,Sony,,,,,,48.4,15.6,38
2020,Walt Disney,,,,,,44.3,14.3,58
2020,Universal,,,,,,39.0,12.5,73
2020,Warner Bros,,,,,,36.5,11.7,89
2020,Paramount,,,,,,25.0,8.0,22
2020,Lionsgate,,,,,,14.0,4.5,29
2020,StudioCanal,,,,,,13.9,4.5,46
2020,Entertainment Film Distributors,,,,,,13.3,4.3,6
2020,Shear Entertainment*,,,,,,4.0,1.3,1
2020,Other distributors (143),,,,,,23.2,7.5,534
2021,Universal,,,,,,180.8,30.6,51
2021,Sony,,,,,,130.8,22.2,52
2021,Walt Disney,,,,,,125.1,21.2,63
2021,Warner Bros,,,,,,84.7,14.4,80
2021,Paramount,,,,,,21.8,3.7,16
2021,Lionsgate,,,,,,10.5,1.8,23
2021,Entertainment One,,,,,,8.1,1.4,12
2021,Park Circus,,,,,,3.4,0.6,96
2021,STX Entertainment,,,,,,3.4,0.6,3
2021,StudioCanal,,,,,,2.7,0.5,36
2021,Other distributors (137),,,,,,19.0,3.2,549
