Year,Genre,"Number of
releases","Gross box
office
(£ million)",Top performing title,Number of releases,Gross box office (£ million)
2018,Action,77,361.3,Avengers: Infinity War,,
2018,Animation,46,242.2,Incredibles 2,,
2018,Drama,246,154.1,A Star Is Born,,
2018,Comedy,144,88.3,Johnny English Strikes Again,,
2018,Biopic,5,78.5,Bohemian Rhapsody,,
2018,Musical,5,67.0,Mamma Mia! Here We Go Again,,
2018,Family,10,60.3,Mary Poppins Returns,,
2018,Fantasy,4,57.6,Fantastic Beasts: The Crimes of Grindelwald,,
2018,Horror,38,57.1,A Quiet Place,,
2018,Adventure,10,36.4,Ready Player One,,
2018,Sci-fi,14,30.8,Solo: A Star Wars Story,,
2018,Thriller,42,30.6,The Equalizer 2,,
2018,Crime,10,17.9,Widows,,
2018,Romance,17,11.8,The Guernsey Literary and Potato Peel Pie Society,,
2018,Documentary,112,9.3,Free Solo,,
2018,War,3,1.3,Journey’s End,,
2018,Western,2,0.1,Sweet Country,,
2018,Mystery,2,0.1,Dark River,,
2019,Action,,,Avengers: Endgame,102,328.3
2019,Animation,,,The Lion King,40,312.1
2019,Drama,,,Downton Abbey,264,166.4
2019,Comedy,,,Yesterday,136,83.5
2019,Biopic,,,Rocketman,19,80.7
2019,Thriller,,,Joker,20,75.3
2019,Sci-fi,,,Star Wars: The Rise of Skywalker,3,64.3
2019,Horror,,,It Chapter Two,37,60.6
2019,Adventure,,,Aladdin,8,44.5
2019,Family,,,Dumbo,5,42.7
2019,Romance,,,Last Christmas,7,18.9
2019,Musical,,,Cats,8,12.3
2019,Documentary,,,Apollo 11,99,7.8
2019,Crime,,,21 Bridges,11,2.8
2019,Mystery,,,The Souvenir,1,0.5
2019,War,,,Saving Private Ryan (D-Day 75th Anniversary),2,0.1
2019,Fantasy,,,Gwen,2,<0.1
2020,Action,,,Bad Boys For Life,36,48.5
2020,War,,,1917,3,44.3
2020,Animation,,,Sonic The Hedgehog,19,34.8
2020,Thriller,,,Tenet,15,32.8
2020,Drama,,,The Personal History of David Copperfield,140,31.4
2020,Comedy,,,Jojo Rabbit,65,24.0
2020,Crime,,,The Gentlemen,8,12.5
2020,Horror,,,The Invisible Man,24,12.1
2020,Adventure,,,The Call Of The Wild,9,3.8
2020,Fantasy,,,Pinocchio,2,0.9
2020,Romance,,,Hope Gap,6,0.4
2020,Documentary,,,I Am Greta,42,0.4
2020,Western,,,True History Of The Kelly Gang,2,0.3
2020,Family,,,Max Winslow And The House Of Secrets,3,0.3
2020,Biopic,,,Mr. Jones,3,0.2
2020,Sci fi,,,Color Out Of Space,4,0.1
2021,Action,,,No Time to Die,52,296.7
2021,Comedy,,,Free Guy,54,65.1
2021,Animation,,,The Addams Family 2,38,58.2
2021,Horror,,,A Quiet Place Part II,24,40.8
2021,Family,,,Peter Rabbit 2: The Runaway,8,29.6
2021,Sci fi,,,Dune,4,29.6
2021,Drama,,,Nomadland,134,20.6
2021,Musical,,,West Side Story,8,15.5
2021,Adventure,,,Jungle Cruise,6,15.2
2021,Fantasy,,,Eternals,3,14.9
2021,Biopic,,,House of Gucci,5,13.4
2021,Thriller,,,The Forever Purge,10,8.2
2021,Suspense,,,Old,12,4.5
2021,Documentary,,,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",69,2.1
2021,Romance,,,The Last Letter from Your Lover,13,1.5
2021,Crime,,,Rise of the Footsoldier: Origins,2,0.3
